ix,iy,icloudy,icol,irow,x,y,MASL,land_percent,nwl,wl,nip,meas_type,nbvm,sza,vza,raa,meas,ifcov,ifmp,NPIXELS,TIMESTAMP,HEIGHT_OBS,NSURF,IFGAS
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.443,1,41,14,41.448002,56.145,35.9127,0.168023,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.443,1,41,14,41.448002,50.6363,34.9953,0.158322,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.443,1,41,14,41.448002,44.0499,33.6237,0.154561,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.443,1,41,14,41.448002,36.168,31.3592,0.147898,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.443,1,41,14,41.448002,26.9006,27.1168,0.138535,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.443,1,41,14,41.448002,16.5595,16.7191,0.130689,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.443,1,41,14,41.448002,7.68489,334.304,0.122653,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.443,1,41,14,41.448002,11.6879,258.753,0.11543,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.443,1,41,14,41.448002,22.0183,239.836,0.109719,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.443,1,41,14,41.448002,31.8921,233.59,0.108231,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.443,1,41,14,41.448002,40.4372,230.598,0.109761,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.443,1,41,14,41.448002,47.6254,228.866,0.116018,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.443,1,41,14,41.448002,53.6196,227.747,0.126104,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.443,1,41,14,41.448002,58.6453,226.977,0.1346,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,41,14,41.448002,56.3033,35.9408,0.171514,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,41,14,41.448002,50.8235,35.0325,0.165483,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,41,14,41.448002,44.2762,33.6826,0.157867,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,41,14,41.448002,36.4374,31.4547,0.151421,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,41,14,41.448002,27.2136,27.3093,0.142274,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,41,14,41.448002,16.8885,17.2573,0.131246,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,41,14,41.448002,7.84148,336.903,0.12371,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,41,14,41.448002,11.393,259.916,0.116822,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,41,14,41.448002,21.6959,240.142,0.112807,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,41,14,41.448002,31.6054,233.718,0.11227,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,41,14,41.448002,40.1922,230.671,0.114098,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,41,14,41.448002,47.4217,228.913,0.118701,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,41,14,41.448002,53.4489,227.781,0.125681,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,41,14,41.448002,58.5012,226.999,0.1316,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,42,14,41.448002,56.3033,35.9408,0.00448661,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,42,14,41.448002,50.8235,35.0325,0.00539644,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,42,14,41.448002,44.2762,33.6826,0.00600039,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,42,14,41.448002,36.4374,31.4547,0.0054869,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,42,14,41.448002,27.2136,27.3093,0.00294486,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,42,14,41.448002,16.8885,17.2573,-0.00253629,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,42,14,41.448002,7.84148,336.903,-0.00598738,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,42,14,41.448002,11.393,259.916,0.0118729,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,42,14,41.448002,21.6959,240.142,-0.000304188,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,42,14,41.448002,31.6054,233.718,-0.00822712,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,42,14,41.448002,40.1922,230.671,-0.0138252,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,42,14,41.448002,47.4217,228.913,-0.0182155,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,42,14,41.448002,53.4489,227.781,-0.0230277,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,42,14,41.448002,58.5012,226.999,-0.0241,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,43,14,41.448002,56.3033,35.9408,-0.0146808,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,43,14,41.448002,50.8235,35.0325,-0.00906144,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,43,14,41.448002,44.2762,33.6826,-0.00539066,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,43,14,41.448002,36.4374,31.4547,-0.000610178,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,43,14,41.448002,27.2136,27.3093,0.00314698,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,43,14,41.448002,16.8885,17.2573,0.0035514,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,43,14,41.448002,7.84148,336.903,-0.00791328,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,43,14,41.448002,11.393,259.916,0.0109584,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,43,14,41.448002,21.6959,240.142,0.0226368,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,43,14,41.448002,31.6054,233.718,0.028949,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,43,14,41.448002,40.1922,230.671,0.0338537,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,43,14,41.448002,47.4217,228.913,0.038571,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,43,14,41.448002,53.4489,227.781,0.043205,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.490,3,43,14,41.448002,58.5012,226.999,0.0477,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.565,1,41,14,41.448002,55.9868,35.8844,0.197125,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.565,1,41,14,41.448002,50.4491,34.9578,0.194778,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.565,1,41,14,41.448002,43.8237,33.5641,0.188066,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.565,1,41,14,41.448002,35.8987,31.2624,0.187404,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.565,1,41,14,41.448002,26.5879,26.9197,0.180386,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.565,1,41,14,41.448002,16.2319,16.159,0.168262,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.565,1,41,14,41.448002,7.54476,331.603,0.160639,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.565,1,41,14,41.448002,11.9873,257.647,0.151637,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.565,1,41,14,41.448002,22.3414,239.539,0.147518,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.565,1,41,14,41.448002,32.179,233.464,0.146325,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.565,1,41,14,41.448002,40.6823,230.525,0.144101,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.565,1,41,14,41.448002,47.8292,228.82,0.148688,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.565,1,41,14,41.448002,53.7903,227.715,0.153554,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.565,1,41,14,41.448002,58.7894,226.954,0.1445,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,41,14,41.448002,55.8285,35.856,0.26587,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,41,14,41.448002,50.262,34.92,0.261937,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,41,14,41.448002,43.5975,33.504,0.262425,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,41,14,41.448002,35.6295,31.164,0.259421,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,41,14,41.448002,26.2755,26.718,0.250558,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,41,14,41.448002,15.906,15.576,0.240287,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,41,14,41.448002,7.422,328.806,0.228805,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,41,14,41.448002,12.291,256.596,0.217655,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,41,14,41.448002,22.665,239.25,0.213493,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,41,14,41.448002,32.466,233.34,0.212603,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,41,14,41.448002,40.9275,230.454,0.207272,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,41,14,41.448002,48.033,228.774,0.207152,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,41,14,41.448002,53.961,227.682,0.210102,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,41,14,41.448002,58.9335,226.932,0.2029,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,42,14,41.448002,55.8285,35.856,0.000931111,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,42,14,41.448002,50.262,34.92,0.00216802,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,42,14,41.448002,43.5975,33.504,0.00226653,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,42,14,41.448002,35.6295,31.164,0.000925163,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,42,14,41.448002,26.2755,26.718,0.00143852,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.670,3,42,14,41.448002,15.906,15.576,-0.00205292,0,0,4,2008-01-04T13:15:01Z,705000,0,0
