angle,pol_0,pol_45,pol_90,pol_135
0,8.829,3.702,6.445,8.939
1,1.378,7.766,4.035,8.933
2,9.067,6.567,6.274,1.489
3,9.886,6.77,5.43,6.89
4,7.671,2.45,7.127,9.783
5,2.586,4.543,4.266,5.887
6,3.957,5.063,4.957,2.273
7,8.154,4.788,4.773,1.298
8,1.498,7.436,7.784,9.834
9,5.971,2.859,3.087,4.342
10,2.702,4.016,2.894,9.809
11,7.124,3.9,1.664,3.776
12,2.188,1.184,1.727,0.233
13,8.068,7.383,8.158,9.855
14,1.344,0.881,8.26,8.29
15,4.066,5.156,4.983,9.97
16,2.863,0.361,7.734,5.924
17,1.132,9.572,8.843,7.702
18,9.737,2.563,7.493,6.378
19,1.79,3.461,7.019,9.2
20,8.338,8.421,8.333,6.283
21,4.635,6.148,2.408,1.4
22,2.61,4.724,5.705,9.478
23,0.01,1.072,4.969,2.624
24,3.116,7.504,6.657,4.974
25,5.448,1.858,9.289,1.23
26,8.613,7.556,2.006,0.455
27,1.42,9.224,9.578,6.248
28,9.816,6.569,0.948,3.695
29,3.719,4.527,0.731,5.916
30,6.894,1.145,8.178,4.495
31,2.309,6.656,2.637,9.949
32,1.284,9.978,7.907,4.441
33,6.63,2.522,5.39,6.592
34,8.412,0.57,1.982,8.74
35,3.197,2.418,1.264,2.788
36,0.322,3.687,7.806,1.6
37,3.848,5.068,6.088,6.651
38,2.986,1.82,5.968,2.398
39,8.782,9.278,1.548,1.435
40,8.725,2.852,6.544,5.079
41,9.226,4.985,5.378,4.586
42,7.632,9.19,6.088,0.941
43,7.069,7.614,1.368,1.68
44,5.966,6.284,3.891,4.938
45,7.466,8.454,7.797,0.37
46,9.807,2.426,7.437,9.504
47,3.887,8.118,9.492,2.389
48,3.059,7.127,8.605,9.088
49,7.174,5.912,8.535,4.139
50,0.758,5.533,0.209,2.788
51,0.438,2.168,3.667,6.108
52,9.884,1.255,7.344,9.462
53,1.686,4.567,5.29,5.95
54,6.864,7.755,4.48,3.101
55,9.828,1.691,4.185,7.604
56,5.298,4.336,2.663,8.517
57,8.547,0.769,4.003,1.427
58,3.675,8.32,0.427,0.432
59,9.207,9.942,0.01,2.044
60,7.458,3.493,4.762,6.475
61,5.741,5.82,1.443,5.941
62,1.632,3.728,6.579,1.277
63,9.915,8.331,6.294,6.155
64,7.45,0.641,3.957,0.244
65,9.557,0.658,9.713,7.172
66,6.153,4.025,7.779,9.207
67,4.873,4.14,8.761,7.738
68,5.858,3.255,0.236,8.863
69,3.585,3.849,1.419,6.37
70,4.203,8.713,9.711,1.607
71,1.891,6.24,8.43,7.649
72,6.458,5.261,7.881,0.282
73,6.176,0.184,9.651,0.101
74,2.838,7.815,0.491,9.823
75,8.604,3.081,0.984,8.817
76,8.751,0.61,7.278,7.384
77,4.665,1.859,2.864,2.288
78,4.419,6.387,1.04,2.533
79,0.724,3.454,7.139,0.239
80,4.44,4.73,7.478,0.76
81,7.313,8.845,4.967,9.057
82,3.379,1.875,5.89,6.856
83,6.235,6.81,6.555,0.696
84,9.558,0.808,3.652,8.248
85,4.64,1.597,8.241,5.961
86,7.501,5.308,8.133,5.43
87,1.956,9.546,5.091,8.51
88,3.912,5.186,1.011,8.876
89,8.858,3.018,6.291,5.299
90,1.382,1.606,2.573,0.125
91,8.441,0.218,7.613,9.012
92,6.683,1.092,3.124,3.261
93,0.083,3.174,7.266,5.389
94,1.691,2.065,4.687,0.819
95,1.535,3.092,6.056,3.831
96,5.83,4.266,1.792,4.58
97,4.017,7.442,4.268,0.45
98,4.777,7.783,0.282,4.566
99,6.334,6.184,5.136,7.519
100,7.148,1.939,1.999,2.336
101,8.82,6.901,8.023,6.76
102,9.393,2.287,4.521,4.745
103,1.428,5.824,4.384,3.405
104,0.824,6.83,8.859,5.025
105,5.523,1.152,4.769,2.281
106,4.398,5.973,1.971,9.038
107,1.374,8.665,8.175,0.242
108,2.647,2.957,7.485,3.877
109,6.416,1.392,3.045,2.132
110,2.699,2.867,3.747,7.134
111,8.528,5.355,1.078,7.885
112,7.657,3.175,1.824,5.603
113,1.483,5.181,2.415,6.845
114,5.313,1.6,9.565,8.37
115,7.582,9.09,2.052,0.299
116,5.709,4.208,1.754,8.493
117,0.513,7.694,2.026,0.047
118,9.518,0.807,3.081,4.379
119,3.721,6.814,7.826,2.235
120,3.293,0.819,9.548,6.743
121,9.974,5.218,2.993,2.35
122,6.419,5.657,2.997,2.194
123,9.621,8.195,9.779,3.623
124,7.935,6.907,7.811,2.054
125,9.865,4.135,2.576,7.092
126,2.549,4.105,4.256,6.727
127,3.89,7.111,1.599,4.728
128,9.892,5.342,1.967,5.809
129,0.414,2.005,5.452,6.724
130,6.55,8.695,6.038,6.87
131,6.086,0.115,3.83,8.202
132,3.357,9.753,3.345,7.305
133,2.081,7.344,6.304,8.192
134,0.692,2.519,9.442,5.043
135,0.736,8.739,0.669,3.713
136,4.823,8.733,8.271,7.525
137,1.138,7.279,8.383,8.495
138,3.613,4.269,6.422,7.172
139,7.86,4.251,6.896,2.913
140,9.444,3.147,6.925,6.709
141,4.332,1.59,1.591,6.319
142,4.564,1.858,1.517,0.957
143,1.347,6.385,3.757,8.979
144,2.984,8.4,3.872,8.626
145,5.886,3.847,8.031,8.241
146,0.091,7.587,9.476,4.181
147,6.866,1.443,9.929,2.062
148,3.373,1.845,3.563,1.357
149,9.238,8.796,8.882,5.164
150,3.444,4.724,5.312,7.304
151,9.421,0.876,7.202,2.763
152,8.631,5.589,2.275,7.161
153,3.785,4.661,1.458,6.448
154,9.305,5.275,8.143,7.603
155,2.79,5.546,3.315,4.623
156,8.644,6.895,8.317,8.574
157,9.697,2.216,3.932,8.92
158,9.188,1.255,4.684,1.527
159,4.836,8.142,3.624,1.4
160,9.24,7.024,8.295,5.904
161,2.762,9.731,9.197,7.032
162,3.243,8.459,2.608,3.986
163,9.592,2.539,4.712,7.979
164,6.733,7.487,5.356,6.4
165,7.283,2.331,3.667,3.555
166,2.915,4.854,7.991,9.939
167,6.276,9.942,5.54,2.721
168,0.165,2.617,5.076,5.531
169,2.033,8.815,0.998,7.516
170,4.62,2.41,6.174,0.749
171,0.233,5.034,3.279,5.254
172,3.12,3.637,5.344,6.977
173,6.717,9.636,0.718,3.567
174,3.114,8.379,7.528,9.734
175,1.707,7.7,8.575,7.766
176,1.927,9.651,1.166,8.945
177,1.098,5.384,3.47,3.773
178,3.173,3.184,8.545,4.468
179,4.099,7.196,4.263,8.91
180,1.079,6.019,0.711,4.318
181,7.708,6.4,5.375,6.285
182,0.724,2.43,8.603,4.52
183,3.836,7.604,0.165,2.352
184,9.708,0.273,6.843,8.019
185,1.954,2.544,6.353,2.401
186,7.331,2.997,8.688,4.408
187,9.188,4.416,4.062,7.141
188,2.712,7.248,2.249,9.098
189,0.051,4.863,7.058,3.333
190,7.197,1.855,7.004,3.043
191,3.549,0.204,5.916,1.272
192,5.154,0.93,3.942,3.079
193,6.181,4.459,2.587,4.648
194,1.956,8.476,0.175,0.005
195,3.108,3.908,2.102,6.678
196,2.242,2.921,0.525,1.383
197,5.697,7.12,0.319,2.91
198,5.097,3.294,1.143,4.772
199,4.284,1.172,5.309,7.166
200,7.999,8.673,8.06,7.543
201,2.007,5.076,6.057,5.443
202,8.425,3.144,5.878,5.576
203,4.77,0.043,3.409,1.301
204,0.735,7.59,3.419,6.994
205,2.213,2.59,5.198,6.92
206,2.544,3.017,0.468,9.656
207,3.162,4.77,1.869,5.239
208,9.133,7.604,0.005,2.038
209,3.524,9.564,7.579,6.04
210,0.057,6.605,7.016,3.037
211,1.811,8.123,7.453,1.964
212,6.622,3.498,4.1,8.598
213,2.736,0.952,5.725,0.591
214,6.507,2.477,1.173,6.374
215,0.319,6.184,1.717,1.044
216,9.631,1.649,8.24,5.266
217,1.298,8.405,8.067,1.888
218,9.729,0.48,2.782,6.408
219,5.944,6.935,2.571,2.585
220,8.965,2.42,7.9,8.09
221,7.885,9.034,4.893,8.272
222,8.976,0.142,9.359,7.848
223,3.122,1.485,3.699,5.677
224,0.757,6.238,0.327,3.27
225,3.082,2.817,3.243,9.15
226,8.839,6.968,9.728,1.866
227,0.914,7.773,9.23,2.068
228,0.659,1.511,4.844,6.86
229,2.31,4.412,0.566,9.425
230,8.594,3.995,8.071,4.326
231,1.186,2.768,9.841,2.803
232,6.569,1.586,6.928,5.884
233,2.442,5.467,6.725,1.031
234,1.61,6.277,1.827,9.807
235,2.963,6.761,0.332,1.411
236,4.197,1.981,7.617,7.8
237,5.651,8.547,6.83,5.605
238,1.761,4.392,7.069,8.169
239,1.343,6.465,7.859,3.112
240,3.793,8.51,9.242,6.47
241,3.591,6.794,5.649,5.856
242,7.447,6.196,7.778,4.872
243,9.948,8.802,3.076,9.242
244,4.246,6.37,7.779,9.429
245,3.777,1.698,6.204,8.934
246,3.363,6.363,1.927,8.976
247,4.583,6.166,0.384,8.478
248,4.546,8.462,3.386,5.908
249,5.834,2.781,8.3,5.131
250,0.026,7.241,4.954,7.505
251,2.717,7.459,9.366,8.384
252,5.542,4.211,4.844,5.563
253,8.891,6.241,1.466,2.335
254,6.485,3.595,4.427,9.737
255,9.445,8.219,2.435,6.166
256,3.501,4.103,3.711,8.026
257,5.151,5.587,8.257,6.0
258,5.178,1.277,6.699,2.449
259,3.049,2.368,8.566,5.884
260,4.345,2.741,1.44,0.216
261,1.407,9.408,8.978,6.968
262,3.455,2.486,6.941,6.646
263,0.626,0.123,1.709,8.741
264,3.279,9.577,7.348,7.789
265,9.405,9.467,8.157,4.474
266,5.742,1.616,7.449,0.746
267,7.43,0.644,3.909,5.479
268,5.09,6.619,0.369,3.667
269,1.351,9.74,2.761,1.065
270,3.948,7.51,2.472,5.1
271,1.912,1.34,6.993,8.697
272,7.76,9.51,8.959,2.702
273,7.272,1.205,5.966,8.739
274,1.915,2.388,7.927,7.958
275,8.873,4.619,4.398,6.925
276,9.474,3.727,0.48,1.291
277,1.737,0.24,2.558,3.229
278,3.317,0.818,8.343,7.695
279,2.389,4.304,4.354,4.927
280,7.118,9.712,6.202,7.181
281,7.922,0.653,1.138,3.179
282,7.712,1.82,9.456,0.193
283,6.48,5.865,2.45,9.948
284,1.049,8.694,3.164,9.559
285,7.182,0.303,6.931,9.766
286,8.46,9.506,7.444,6.399
287,6.657,5.086,5.649,6.055
288,5.936,9.361,3.834,2.698
289,2.049,1.499,6.232,1.908
290,7.077,3.005,2.753,2.323
291,8.656,1.614,6.028,5.91
292,4.574,6.351,7.815,2.432
293,8.919,5.862,4.184,5.152
294,4.447,6.709,5.79,1.972
295,2.417,9.16,8.469,9.97
296,0.649,0.916,4.121,0.665
297,5.044,2.69,0.67,7.526
298,2.625,0.84,6.912,7.271
299,6.101,5.83,0.659,1.16
300,2.431,5.56,8.449,6.67
301,2.257,9.346,2.468,8.724
302,2.712,6.003,9.418,8.24
303,8.802,4.449,8.446,4.605
304,4.818,3.653,0.323,9.7
305,7.68,3.366,3.165,9.037
306,2.705,7.499,4.058,4.329
307,5.609,2.883,8.255,9.009
308,6.895,0.921,8.069,7.051
309,8.206,2.073,2.553,8.858
310,6.666,8.769,5.439,8.936
311,3.831,2.816,3.816,9.675
312,0.372,6.683,7.33,5.242
313,6.773,4.848,1.953,1.06
314,2.684,3.037,2.939,1.446
315,2.033,7.322,0.732,5.371
316,5.095,6.747,1.213,8.806
317,9.488,3.914,5.155,5.842
318,4.337,3.123,3.861,5.778
319,6.883,0.261,3.708,6.188
320,9.229,4.687,7.839,9.585
321,4.942,3.555,1.527,4.574
322,5.528,2.82,5.264,1.409
323,4.758,5.256,2.188,0.703
324,5.088,9.738,2.801,7.501
325,7.397,4.743,8.901,1.237
326,4.287,1.32,0.451,9.246
327,5.839,5.712,5.138,8.929
328,5.46,5.509,5.529,2.647
329,1.326,6.701,0.016,6.388
330,0.915,4.212,2.637,8.213
331,5.592,4.149,8.39,5.965
332,8.467,2.85,3.694,3.465
333,2.255,7.115,4.215,7.622
334,3.692,1.223,9.586,7.169
335,9.628,1.527,0.994,2.477
336,0.72,6.221,7.043,4.726
337,7.123,4.117,3.053,1.379
338,8.188,9.222,8.961,6.713
339,4.494,5.455,8.089,7.387
